ACIW,ACI Worldwide Inc,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),topStory
BMO,Bank Of Montreal,20110914,CANADA STOCKS-TSX little changed as euro crisis mars sentiment , * European debt crisis continues to dominate  (Updates with details  commentary),normal
BK,Bank Of New York Mellon Corporation (The),20110914,BNY Mellon forex trades cost pensions: report ,Bank of New York Mellon Corp executed some currency transactions for two large public pension funds in a way that could trigger higher costs and boost its profit  the Wall Street Journal showed in an analysis.,topStory
BK,Bank Of New York Mellon Corporation (The),20110914,PRESS DIGEST - Wall Street Journal - Sept 14 , Sept 14 The following were the top stories in The Wall Street Journal on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
BK,Bank Of New York Mellon Corporation (The),20110914,BNY Mellon forex trades cost pensions - WSJ , Sept 13 Bank of New York Mellon Corp  executed some currency transactions for two large public pension funds in a way that could trigger higher costs and boost its profit  the Wall Street Journal showed in an analysis.,normal
BNS,Bank of Nova Scotia (The),20110914,CANADA STOCKS-TSX little changed as euro crisis mars sentiment , * European debt crisis continues to dominate  (Updates with details  commentary),topStory
BCS,Barclays PLC,20110914,Lehman loses bid to recoup $500 million from Barclays ,NEW YORK A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,topStory
BCS,Barclays PLC,20110914,Lehman loses bid to recoup $500 mln from Barclays , NEW YORK  Sept 14 A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,normal
BCS,Barclays PLC,20110914,3 years on  Lehman on path to exit bankruptcy ,NEW YORK Three years after its collapse  Lehman Brothers  is still stuck in bankruptcy court -- but three years is not as long as it sounds  says the failed investment bank's lead bankruptcy lawyer.,normal
BCS,Barclays PLC,20110914,3 years on  Lehman on path to exit bankruptcy ,   * Attorney Harvey Miller says parties struck 'right chord',normal
BCS,Barclays PLC,20110914,French downgrade "very small " well capitalised: Noyer ,PARIS Bank of France Governor Christian Noyer played down Moody's downgrade of Credit Agricole and Societe Generale on Wednesday  saying it was "very small" and the banks had enough capital to cover any losses.,normal
BCS,Barclays PLC,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
BCS,Barclays PLC,20110914,Lehman goes after former broker bonuses; Wins third case , NEW YORK  Sept 14 Lehman Brothers Holdings Inc.  is now three-for-three in its effort to claw back bonuses that were paid in advance to brokers before the Lehman collapse.,normal
BCS,Barclays PLC,20110914,ADR REPORT-ADRs climb on European bond plan optimism , NEW YORK  Sept 14 U.S.-listed shares of foreign advanced on Wednesday on optimism a plan by the European Commission president for the introduction of common euro zone bonds might help ease the sovereign debt crisis.,normal
BCS,Barclays PLC,20110914,TEXT-Fitch:UK bank reform is major step change for UK banks , (The following statement was released by the rating agency),normal
BCS,Barclays PLC,20110914,Russian private banks see crisis as opportunity ,MOSCOW Global market volatility that has wiped $200 billion off the value of Russian stocks creates an opportunity for private sector banks to boost margins as dominant state lenders are forced to raise lending rates  the head of a major foreign bank told Reuters.,normal
ABX,Barrick Gold Corporation,20110914,UPDATE 2-Peru asks Congress to raise mining taxes , * Scheme aims to increase tax revenues from mining sector,topStory
ABX,Barrick Gold Corporation,20110914,CANADA STOCKS-TSX gains on euro zone relief  golds drag , * Energy stocks lead gains; golds drag  (Adds details  analyst comment),normal
ABX,Barrick Gold Corporation,20110914,CANADA STOCKS-TSX gains on euro zone relief  golds drag , * Energy stocks lead gains; golds drag  (Updates to close. Adds details  commentary),normal
ABX,Barrick Gold Corporation,20110914,UPDATE 1-Peru approves new mining royalty scheme , * Firms without stability accord pay royalty  "special tax",normal
BCE,BCE Inc,20110914,PRESS DIGEST - Canada - Sept 14 , Sept 14 The following are the top stories from selected Canadian newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
BBY,Best Buy Co Inc,20110914,LightSquared says finds fix for GPS interference ,U.S. broadband start-up LightSquared said it had debunked criticism that high-precision global positioning system devices cannot coexist alongside its planned cellular network.,topStory
BBY,Best Buy Co Inc,20110914,REFILE-LightSquared says finds fix for GPS interference , (Refiles to correctly introduce executive in 2nd paragraph),normal
BBY,Best Buy Co Inc,20110914,PRESS DIGEST - Wall Street Journal - Sept 14 , Sept 14 The following were the top stories in The Wall Street Journal on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
BHP,BHP Billiton Limited,20110914,UPDATE 2-Peru asks Congress to raise mining taxes , * Scheme aims to increase tax revenues from mining sector,topStory
BHP,BHP Billiton Limited,20110914,Indian firms eye huge mining investment in Afghanistan , KABUL  Sept 14 Despite increasing insecurity in Afghanistan and gun battles with Taliban rebels in the capital Kabul   Indian firms are bidding billions of dollars for a contract to mine iron ore in a central district of the country.,normal
BBL,BHP Billiton plc,20110914,Indian firms eye huge mining investment in Afghanistan , KABUL  Sept 14 Despite increasing insecurity in Afghanistan and gun battles with Taliban rebels in the capital Kabul   Indian firms are bidding billions of dollars for a contract to mine iron ore in a central district of the country.,topStory
BLK,BlackRock Inc,20110914,Putin to return as president in 2012: poll ,MOSCOW Russian Prime Minister Vladimir Putin will likely return as president next year and appoint a reformist prime minister  Russia-based economists  bankers and businessmen said.,topStory
BLK,BlackRock Inc,20110914,BlackRock CEO Fink favors equities over debt ,NEW YORK BlackRock Inc Chief Executive Laurence Fink said beaten-down European equities and stocks that pay dividends are still a good bet during current tumultuous markets.,normal
BLK,BlackRock Inc,20110914,BlackRock CEO Fink favors equities over debt , NEW YORK  Sept 14 BlackRock Inc  Chief Executive Laurence Fink said beaten-down European equities and stocks that pay dividends are still a good bet during current tumultuous markets.,normal
BLK,BlackRock Inc,20110914,Stop stealing - The reform Russia needs most ,MOSCOW Russia must wipe out corruption if it is to reform its economy after next year's presidential election and faces years of budget deficits if it fails to do so  bankers and businessmen said on Wednesday.,normal
BLK,BlackRock Inc,20110914,Russia plans reforms after elections: Kudrin ,MOSCOW Russia will launch a reform drive next year regardless of who wins parliamentary and presidential elections  Finance Minister Alexei Kudrin said on Tuesday. | Video ,normal
BA,Boeing Company (The),20110914,Contractors battle against further military cuts ,WASHINGTON Defense contractors launched a broad lobbying campaign on Wednesday to drum up public support for holding the line on U.S. military spending cuts.,topStory
BA,Boeing Company (The),20110914,UPDATE 1-Contractors battle against further US military cuts , * Executives meet with Defense Secretary Panetta  (Adds pentagon testimony  industry experts on cuts  Panetta meeting),normal
BA,Boeing Company (The),20110914,Rockwell Collins expects higher '12 profit ,Aircraft parts supplier Rockwell Collins Inc  forecast higher profit for the next fiscal year as commercial sales are expected to offset weakness in government systems revenue.,normal
BA,Boeing Company (The),20110914,UPDATE 1-Rockwell Collins expects higher '12 profit , Sept 14 Aircraft parts supplier Rockwell Collins Inc  forecast higher profit for the next fiscal year as commercial sales are expected to offset weakness in government systems revenue.,normal
BA,Boeing Company (The),20110914,Contractors appeal for no more military cuts ,WASHINGTON Defense contractors launched a new lobbying campaign on Wednesday to drum up public support for holding the line on U.S. military spending cuts.,normal
BA,Boeing Company (The),20110914,Contractors appeal for no more US military cuts , WASHINGTON  Sept 14 Defense contractors launched a new lobbying campaign on Wednesday to drum up public support for holding the line on U.S. military spending cuts.,normal
BA,Boeing Company (The),20110914,Bombardier stock falls as Delta says it not buying ,VANCOUVER Shares in Bombardier Inc  fell nearly 6 percent on Wednesday morning after Delta Air Lines  repeated that it had no plans for further plane purchases.,normal
BA,Boeing Company (The),20110914,Defunct NASA rocket to be reborn as commercial offering , * Agreement with NASA is for technical support not money,normal
BWA,BorgWarner Inc,20110914,ElringKlinger CEO says family investors won't sell ,FRANKFURT ElringKlinger's  family shareholders have pledged they would not sell their holdings in the German automotive supplier  Chief Executive Stefan Wolf told Reuters in an interview on Wednesday.,topStory
BSX,Boston Scientific Corporation,20110914,Boston Scientific taps J&J executive as its next CEO ,Boston Scientific Corp named Johnson & Johnson's top medical device executive to be its new president and chief executive  snaring an experienced leader from its larger rival.,topStory
BSX,Boston Scientific Corporation,20110914,UPDATE 3-Boston Scientific taps J&J exec as its next CEO , * Lures head of medical device business from larger rival,normal
BP,BP plc,20110914,U.S. blames BP for Gulf spill ,WASHINGTON/HOUSTON The United States heaped the lion's share of blame for the country's biggest ever offshore oil spill on BP on Wednesday as the government issued its final assessment of last year's Gulf disaster.,topStory
BP,BP plc,20110914,Spill probe faults BP  Transocean and Halliburton ,The likelihood of a blowout of BP Plc's Gulf of Mexico Macondo well would have been less if workers from the British oil company  Halliburton Co and Transocean had been more careful  investigators probing the disaster said on Wednesday.,normal
BP,BP plc,20110914,UPDATE 5-US blames BP for Gulf spill  but enough to go around , * Other probes have blamed accident on series of mistakes,normal
BP,BP plc,20110914,UPDATE 2-BP plans to quadruple Brazil cane ops in 5 years , * Company buys out Tropical BioEnergia  ups stake in CNAA,normal
BP,BP plc,20110914,U.S. Cash Crude - Grades little changed as Brent spread widens , * EIA data shows large 6.7 mln bbl crude draw last week,normal
BP,BP plc,20110914,Spill probe faults BP  Transocean and Halliburton , Sept 14 The likelihood of a blowout of BP Plc's  Gulf of Mexico Macondo well would have been less if workers from the British oil company  Halliburton Co  and Transocean  had been more careful  investigators probing the disaster said on Wednesday.,normal
BP,BP plc,20110914,US investigators release findings on BP oil spill , WASHINGTON  Sept 14 U.S. federal investigators on Wednesday blamed the largest offshore oil spill in U.S. history on poor management and failure to respond to critical indicators by companies drilling the doomed Macondo well.,normal
BP,BP plc,20110914,UPDATE 1-BP expands Brazil ethanol operations , * Two deals total around $96 million in cash   (Adds details  quote  background),normal
BP,BP plc,20110914,UPDATE 1-Release of key BP oil spill probe expected soon , * Other probes have blamed accident on series of mistakes,normal
BPI,Bridgepoint Education Inc,20110914,UPDATE 1-Key US education department official to leave , Sept 14 James Kvaal  a key U.S. Department of Education official responsible for propagating rules against the for-profit education industry  is leaving to join president Barack Obama's 2012 re-election campaign.,topStory
BVN,Buenaventura Mining Company Inc,20110914,UPDATE 1-Gold Fields to produce 1 mln oz gold in S. America ,  * Gold Fields expanding in Peru  Chile   * Key Chucapaca mine to start construction in Q2 2013,topStory
BVN,Buenaventura Mining Company Inc,20110914,UPDATE 1-Peru approves new mining royalty scheme , * Firms without stability accord pay royalty  "special tax",normal
BVN,Buenaventura Mining Company Inc,20110914,Peru approves new mining royalty scheme , LIMA  Sept 13 Peru has approved a new mining royalty scheme to fund anti-poverty initiatives and infrastructure projects  Economy Minister Luis Castilla said on Tuesday.,normal
CCJ,Cameco Corporation,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),topStory
CCJ,Cameco Corporation,20110914,UPDATE 3-Hathor urges shareholders to reject Cameco bid , * Hathor pursues alternatives  sees other offers emerging,normal
CCJ,Cameco Corporation,20110914,UPDATE 2-Hathor board asks shareholders to reject Cameco offer , * Cameco bid fails to recognize quality of Roughrider deposit,normal
CNQ,Canadian Natural Resources Limited,20110914,CANADA STOCKS-TSX gains on euro zone relief  golds drag , * Energy stocks lead gains; golds drag  (Adds details  analyst comment),topStory
CNQ,Canadian Natural Resources Limited,20110914,CANADA STOCKS-TSX gains on euro zone relief  golds drag , * Energy stocks lead gains; golds drag  (Updates to close. Adds details  commentary),normal
COF,Capital One Financial Corporation,20110914,Capital One CEO says ING deal should be approved ,Capital One Financial Corp  Chief Executive does not expect the purchase of ING Groep NV's  U.S. online bank will be delayed by the Federal Reserve's scrutiny of the deal.,topStory
COF,Capital One Financial Corporation,20110914,UPDATE 1-Capital One CEO says ING deal should be approved , * Capital One CEO says deal does not create systemic risk,normal
CAT,Caterpillar Inc,20110914,BUY OR SELL-U.S. industrial shares show profit pessimism , Sept 14 U.S. industrial stocks are flashing yellow  having lost a fifth of their value in the last two months in what some describe as a warning that another recession is looming.,topStory
CBS,CBS Corporation,20110914,Few sure winners seen at the Emmy Awards ,LOS ANGELES If there are any sure bets at this year's Primetime Emmy Awards on Sunday  they are "Modern Family" again being crowned TV's best comedy series and Kate Winslet winning for her role in "Mildred Pierce". | Video ,topStory
CBS,CBS Corporation,20110914,Few sure winners seen at the Emmy Awards , LOS ANGELES  Sept 14 If there are any sure bets at this year's Primetime Emmy Awards on Sunday  they are "Modern Family" again being crowned TV's best comedy series and Kate Winslet winning for her role in "Mildred Pierce".,normal
CVE,Cenovus Energy Inc,20110914,CANADA STOCKS-TSX gains on euro zone relief  golds drag , * Energy stocks lead gains; golds drag  (Adds details  analyst comment),topStory
CVE,Cenovus Energy Inc,20110914,CANADA STOCKS-TSX gains on euro zone relief  golds drag , * Energy stocks lead gains; golds drag  (Updates to close. Adds details  commentary),normal
CVX,Chevron Corporation,20110914,UPDATE 1-Chevron says Gulf oil pipeline leaked 2.3 gallons , Sept 14 A crude oil pipeline leak this week at a shallow-water platform operated by Chevron Corp  in the Main Pass Area of the Gulf of Mexico released 2.3 gallons (8.9 litres)  the company said on Wednesday.,topStory
CVX,Chevron Corporation,20110914,Chevron says Gulf oil pipeline leaked 2.3 gallons , HOUSTON  Sept 14 Chevron Corp  said on Wednesday that a crude oil pipeline leak this week at a shallow-water platform in the Main Pass Area of the Gulf of Mexico released 2.3 gallons.,normal
CVX,Chevron Corporation,20110914,Chevron confirms Gulf of Mexico oil leak ,A leak from a shallow water crude oil pipeline in the Main Pass Area of the Gulf of Mexico has led Chevron to shut down its offshore Louisiana Main Pass pipeline network  the company said on Tuesday.,normal
CVX,Chevron Corporation,20110914,Chevron confirms Gulf of Mexico oil leak ,A leak from a shallow water crude oil pipeline in the Main Pass Area of the Gulf of Mexico has led Chevron to shut down its offshore Louisiana Main Pass pipeline network  the company said on Tuesday.,normal
CVX,Chevron Corporation,20110914,UPDATE 6-Chevron confirms Gulf of Mexico oil leak , * Chevron shuts Main Pass pipeline system off Louisiana  (Updates with Chevron statement),normal
CVX,Chevron Corporation,20110914,Chevron says 15 000 bpd U.S. Gulf oil output shut , Sept 13 Chevron Corp  said about 15 000 barrels per day of crude oil production in the Main Pass Area off the Louisiana Coast in the Gulf of Mexico was shut on Tuesday by a leak in a shallow-water crude oil pipeline.,normal
CIT,CIT Group Inc (DEL),20110914,CIT will soon take deposits by Internet: CEO ,CIT Group Inc  will begin taking bank deposits over the Internet within the "next month or two " Chief Executive John Thain said on Wednesday.,topStory
CIT,CIT Group Inc (DEL),20110914,UPDATE 2-CIT will soon take deposits by Internet -- CEO , * Internet deposits a step to replace high-cost funding (Adds detail on latest debt repayment  closing share price),normal
C,Citigroup Inc,20110914,MOVES-Jefferies  Renaissance Capital  RCM , Sept 14 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
C,Citigroup Inc,20110914,Lehman goes after former broker bonuses; Wins third case , NEW YORK  Sept 14 Lehman Brothers Holdings Inc.  is now three-for-three in its effort to claw back bonuses that were paid in advance to brokers before the Lehman collapse.,normal
C,Citigroup Inc,20110914,IFR-US banks in private deals to aid Europeans , LONDON  Sept 14 (IFR) - US banks have become the unlikely saviours of their ailing European counterparts  signing private agreements to lend them billions of dollars in recent weeks after an exodus of nervous money market funds left many without ready access to short-term funding.,normal
C,Citigroup Inc,20110914,Tokio Marine hires Citi to sell drug company-Basis Point , HONG KONG  Sept 14 Japanese private equity firm Tokio Marine Capital has hired Citigroup to advise on the sale of generic drug company Showa Yakuhin Kako Co  Basis Point reported on Wednesday  citing bank sources.,normal
C,Citigroup Inc,20110914,Mexico's AeroMexico says August traffic up 17 pct , MEXICO CITY  Sept 13 Grupo AeroMexico  which controls Mexico's largest airline  said on Tuesday its passenger traffic in August increased 17 percent from a year earlier  helped by a jump in international bookings.,normal
C,Citigroup Inc,20110914,Mexico's AeroMexico says August traffic up 17 pct , MEXICO CITY  Sept 13 Grupo AeroMexico  which controls Mexico's largest airline  said on Tuesday its passenger traffic in August increased 17 percent from a year earlier  helped by a jump in international bookings.,normal
KOF,Coca Cola Femsa SAB de CV,20110914,DIARY - Mexico and Central America - to Sept 30 , This diary is updated daily. All dates and times are provisional. The inclusion of diary items does not necessarily   mean that Reuters will file a story based on the event. ___________________________________________________________________ DATE  LOCAL/GMT  MEXICO INDICATOR         PERIOD  F/CAST      PREV ------------------------------------------------------------------- SEP21 0800/1300  retail sales        m/m   Jul           +4.80 pct SEP22 0800/1300  aggregate demand    q/q   Q2          ,topStory
KO,Coca-Cola Company (The),20110914,PepsiCo shakes up North America drinks unit ,PepsiCo Inc  announced a shake-up of its beverages unit on Wednesday  appointing a new head to try to turn around the business  which has lagged behind Coca-Cola Co  in North America.,topStory
KO,Coca-Cola Company (The),20110914,UPDATE 3-PepsiCo shakes up North America drinks unit , * Albert Carey to oversee beverage and bottling operations,normal
CFX,Colfax Corporation,20110914,PRESS DIGEST - British business - Sept 14 , The Ministry of Defence plans to use the stock market as a weapon against companies that cost taxpayers millions of pounds in budget overruns by releasing a list of projects next week that have overshot their budgets or been delayed.,topStory
CAG,ConAgra Brands Inc,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),topStory
CAG,ConAgra Brands Inc,20110914,Dealtalk: ConAgra pressures Ralcorp  to look at others ,PHILADELPHIA For ConAgra Foods Inc   there are other potential takeover targets out there besides Ralcorp Holdings Inc .,normal
CAG,ConAgra Brands Inc,20110914,DEALTALK-ConAgra pressures Ralcorp  to look at others , PHILADELPHIA  Sept 14 For ConAgra Foods Inc   there are other potential takeover targets out there besides Ralcorp Holdings Inc .,normal
CVS,CVS Health Corporation,20110914,UPDATE 1-Express Scripts sees small risk in Walgreen spat , * Says still "probable" Medco deal closes in H1 of 2012  (Adds Walgreen comment),topStory
CVS,CVS Health Corporation,20110914,Express Scripts sees small risk in Walgreen spat ,Express Scripts Inc  might lose a "small fraction" of its business from a dispute with drugstore chain Walgreen Co   its chief financial officer said on Wednesday  but it would not be a significant amount.,normal
CVS,CVS Health Corporation,20110914,Express Scripts sees small risk in Walgreen spat , * Says still "probable" Medco deal closes in H1 of 2012,normal
DHR,Danaher Corporation,20110914,BUY OR SELL-U.S. industrial shares show profit pessimism , Sept 14 U.S. industrial stocks are flashing yellow  having lost a fifth of their value in the last two months in what some describe as a warning that another recession is looming.,topStory
DAL,Delta Air Lines Inc,20110914,Bombardier stock falls as Delta says it not buying ,VANCOUVER Shares in Bombardier Inc  fell nearly 6 percent on Wednesday morning after Delta Air Lines  repeated that it had no plans for further plane purchases.,topStory
DAL,Delta Air Lines Inc,20110914,Mexico's AeroMexico says August traffic up 17 pct , MEXICO CITY  Sept 13 Grupo AeroMexico  which controls Mexico's largest airline  said on Tuesday its passenger traffic in August increased 17 percent from a year earlier  helped by a jump in international bookings.,normal
DAL,Delta Air Lines Inc,20110914,Mexico's AeroMexico says August traffic up 17 pct , MEXICO CITY  Sept 13 Grupo AeroMexico  which controls Mexico's largest airline  said on Tuesday its passenger traffic in August increased 17 percent from a year earlier  helped by a jump in international bookings.,normal
DB,Deutsche Bank AG,20110914,SEC says no probes hurt by destroyed records ,WASHINGTON A past practice of destroying certain pre-investigative materials has not harmed any current or future investigations by the Securities and Exchange Commission  the U.S. agency's enforcement chief said on Wednesday.,topStory
DB,Deutsche Bank AG,20110914,UPDATE 2-U.S. SEC says no probes hurt by destroyed records , * Khuzami says some files based on public data  (Adds background  comments from Senator Grassley),normal
DB,Deutsche Bank AG,20110914,Debt crisis widening would hit German banks ,FRANKFURT Credit rating agency Standard & Poor's warned that a widening of the European debt crisis could have severe consequences for German banks.,normal
DB,Deutsche Bank AG,20110914,ADR REPORT-ADRs climb on European bond plan optimism , NEW YORK  Sept 14 U.S.-listed shares of foreign advanced on Wednesday on optimism a plan by the European Commission president for the introduction of common euro zone bonds might help ease the sovereign debt crisis.,normal
DB,Deutsche Bank AG,20110914,London icon Tower 42 on sale for 290 mln stg , LONDON  Sept 14 London's iconic Tower 42 was put up for sale for 290 million pounds ($458 million)  the latest in a wave of deals for prime office blocks in the UK capital's financial heartland.,normal
DB,Deutsche Bank AG,20110914,RPT-UPDATE 1-French downgrade "very small"  banks well capitalised-Noyer , * Downgrade puts French banks' ratings in line with peers,normal
D,Dominion Energy Inc,20110914,US seeking nuclear safety experts after Fukushima , * Industry  regulator seek expertise to carry out changes,topStory
DCUD,Dominion Energy Inc,20110914,US seeking nuclear safety experts after Fukushima , * Industry  regulator seek expertise to carry out changes,topStory
DRUA,Dominion Energy Inc,20110914,US seeking nuclear safety experts after Fukushima , * Industry  regulator seek expertise to carry out changes,topStory
EC,Ecopetrol SA,20110914,Analysis: Colombia oil woes: rebels take back seat to protests ,BOGOTA High-profile kidnappings  oil pipeline bombings  murders  extortion and now a surge in blockades -- just another day in Colombia's booming oil industry.,topStory
LLY,Eli Lilly and Company,20110914,Pfizer CFO says no decision yet on divestitures ,Pfizer Inc has not decided how it might divest its nutrition or animal health businesses  the drugmaker's chief financial officer said on Wednesday.,topStory
LLY,Eli Lilly and Company,20110914,UPDATE 1-Pfizer CFO says no decision yet on divestitures ,   * Options open for how to divest animal health  nutrition,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20110914,Bombardier stock falls as Delta says it not buying ,VANCOUVER Shares in Bombardier Inc  fell nearly 6 percent on Wednesday morning after Delta Air Lines  repeated that it had no plans for further plane purchases.,topStory
E,ENI SpA,20110914,Iraq's Zubair oil output to peak by 2017- Eni plan , BAGHDAD  Sept 14 Iraq's Zubair oilfield will reach its peak output target of 1.2 million barrels per day (bpd) by the start of 2017  a development plan set by Italian oil company Eni showed.,topStory
EXC,Exelon Corporation,20110914,US seeking nuclear safety experts after Fukushima , * Industry  regulator seek expertise to carry out changes,topStory
XOM,Exxon Mobil Corporation,20110914,RLPC-French banks look to pass on rising dollar loan costs , * Higher pricing seen on commodities  emerging markets loans,topStory
XOM,Exxon Mobil Corporation,20110914,Conoco CEO says gas drilling is U.S. job creator , * 200 000 jobs created in Barnett  Marcellus shales-Mulva,normal
F,Ford Motor Company,20110914,Russia's 2011 WTO entry hinges on EU - Kremlin ,MOSCOW Russia's chances of joining the World Trade Organization in 2011 hinge on the European Union while the membership will hurt the country's energy-based economy in the short-term  senior Russian officials told Reuters on Wednesday.,topStory
F,Ford Motor Company,20110914,UAW sees progress at GM  expects contract deal ,DETROIT The United Auto Workers union has made "much progress" toward a new contract with General Motors Co to replace the current deal on wages and benefits that expires just before midnight on Wednesday  a senior union official said.,normal
F,Ford Motor Company,20110914,UPDATE 3-UAW sees progress at GM  expects contract deal , * UAW  GM teams talked until after 11 p.m. on Tues -source,normal
F,Ford Motor Company,20110914,UPDATE 1-Romania - Factors to watch on Sept 14 , BUCHAREST  Sept 14 Here are news stories  press reports and events to watch which may affect Romanian financial markets on Wednesday.,normal
F,Ford Motor Company,20110914,TABLE-China August car sales up 7.3 pct y/y , BEIJING  Sept 14 Car sales in China climbed 7.3 percent in August from a year earlier  the China Association of Automobile Manufacturers (CAAM) said.	 ---------------------------------------------------------------,normal
FCX,Freeport-McMoran Inc,20110914,UPDATE 2-Freeport workers in Peru start copper mine strike , * Freeport says "no material impact" on production"  (Adds company comment  background updates Indonesia strike),topStory
FCX,Freeport-McMoran Inc,20110914,Freeport says production unaffected by Peru strike , LIMA  Sept 14 Copper and Molybdenum production at Freeport McMoran's  Cerro Verde mine in Peru has not been "materially affected" by an indefinite strike that started this morning  said a spokesman on Wednesday.,normal
FCX,Freeport-McMoran Inc,20110914,UPDATE 1-Freeport Indonesia copper miners begin month strike , (Adds comments from union official)	 TIMIKA  Indonesia  Sept 15 Freeport McMoRan Copper & Gold's Indonesia workers kicked off a month-long strike at the world's third-biggest copper mine in the early hours of Thursday  a union official told Reuters.,normal
FCX,Freeport-McMoran Inc,20110914,Freeport Indonesia copper miners begin month strike , TIMIKA  Indonesia  Sept 15 Freeport McMoRan Copper & Gold's Indonesia workers kicked off a month-long strike at the world's third-biggest copper mine in the early hours of Thursday  a union official told Reuters.,normal
FCX,Freeport-McMoran Inc,20110914,Freeport workers in Peru launch indefinite strike , LIMA  Sept 14 Workers at Peru's No. 3 copper producer Cerro Verde  launched an indefinite pay strike at 7:30 a.m. local (1230 GMT) after talks with the government broke down  a union leader said Wednesday.,normal
FCX,Freeport-McMoran Inc,20110914,UPDATE 1-Freeport Indonesia workers give midnight strike deadline , JAKARTA  Sept 14 Freeport McMoRan Copper & Gold's Indonesia mine workers have given the company a deadline of midnight on Wednesday to come up with a fresh pay rise offer  or they will proceed with a month-long strike  union official Virgo Solossa told Reuters.,normal
FCX,Freeport-McMoran Inc,20110914,Freeport Indonesia workers give midnight strike deadline , JAKARTA  Sept 14 Freeport McMoRan Copper & Gold's Indonesia mine workers have given the company a deadline of midnight on Wednesday to come up with a fresh pay rise offer  or they will proceed with a month-long strike  union official Virgo Solossa told Reuters.,normal
GPS,Gap Inc (The),20110914,UPDATE 3-Uniqlo parent ramps up expansion to unseat H&M  Gap , * Aims to make China  S Korea into 100 bln yen ops in 2-3 years,topStory
GPS,Gap Inc (The),20110914,UPDATE 1-Japan's Fast Retailing races to become world's top , ,normal
GD,General Dynamics Corporation,20110914,Contractors battle against further military cuts ,WASHINGTON Defense contractors launched a broad lobbying campaign on Wednesday to drum up public support for holding the line on U.S. military spending cuts.,topStory
GD,General Dynamics Corporation,20110914,UPDATE 1-Contractors battle against further US military cuts , * Executives meet with Defense Secretary Panetta  (Adds pentagon testimony  industry experts on cuts  Panetta meeting),normal
GD,General Dynamics Corporation,20110914,Contractors appeal for no more military cuts ,WASHINGTON Defense contractors launched a new lobbying campaign on Wednesday to drum up public support for holding the line on U.S. military spending cuts.,normal
GD,General Dynamics Corporation,20110914,Contractors appeal for no more US military cuts , WASHINGTON  Sept 14 Defense contractors launched a new lobbying campaign on Wednesday to drum up public support for holding the line on U.S. military spending cuts.,normal
GEK,General Electric Capital Corporation,20110914,Push for action in euro zone fuels gains ,NEW YORK Stocks rose 1 percent in a third day of gains on Wednesday after European leaders displayed new urgency in efforts to contain the euro zone debt crisis. | Video ,topStory
GEK,General Electric Capital Corporation,20110914,US STOCKS-Push for action in euro zone fuels gains , * Hedge funds return to buying euro  stocks --strategist,normal
GEK,General Electric Capital Corporation,20110914,US seeking nuclear safety experts after Fukushima , * Industry  regulator seek expertise to carry out changes,normal
GEK,General Electric Capital Corporation,20110914,CORRECTED-US STOCKS-Wall St to open higher on euro optimism , (Corrects to make clear that Moody's downgrade of Societe Generale was not due to its exposure to Greece. The error also appeared in previous versions of this story.),normal
GEK,General Electric Capital Corporation,20110914,US STOCKS-Push for action in euro zone fuels gains , * Hedge funds return to buying euro  stocks -- strategist,normal
GEK,General Electric Capital Corporation,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
GEK,General Electric Capital Corporation,20110914,How to play it: Solving your portfolio's Greek debt crisis ,THE ISSUE: Fears of a Greek default have shaken global financial markets; relief over even temporary fixes has triggered big rallies like on Wednesday. What can investors do to position themselves?,normal
GEK,General Electric Capital Corporation,20110914,HOW TO PLAY IT-Solving your portfolio's Greek debt crisis , THE ISSUE: Fears of a Greek default have shaken global financial markets; relief over even temporary fixes has triggered big rallies like on Wednesday. What can investors do to position themselves?,normal
GEK,General Electric Capital Corporation,20110914,UPDATE 1-GE has booked over $1 bln in gas turbine orders , * Growth "a little better" than expected  exec says  (Adds quotes from GE executive),normal
GEK,General Electric Capital Corporation,20110914,GE has booked over $1 bln in gas turbine orders , Sept 14 General Electric Co  has landed more than $1 billion in orders for new gas turbines in North America so far this year  reflecting power companies' growing interest in natural gas  the largest U.S. conglomerate said.,normal
