ALNY,Alnylam Pharmaceuticals Inc,20120925,Alnylam gets favorable ruling in patent suit against Tekmira ,Alnylam Pharmaceuticals Inc said a U.S. federal court has ruled that it could sue Canada's Tekmira Pharmaceuticals Corp for infringing patents on lipid nanoparticle technology exclusively licensed to Alnylam.,topStory
MYE,Myers Industries Inc,20120925,Weeks before election  Pennsylvania voter ID law back in court ,HARRISBURG  Pennsylvania A judge who will decide whether Pennsylvania's new voter-identification law should be blocked heard testimony on Tuesday from one witness who said fears that the measure placed an unfair burden on residents were overblown.,topStory
SID,National Steel Company,20120925,CSN hires Bradesco for Thyssen Brazil mill bid-report ,SAO PAULO  Sept 25 Brazilian steelmaker CSN  has hired the investment banking unit of Banco Bradesco to advise on a potential bid for ThyssenKrupp's money-losing Steel Americas unit  Valor Econômico newspaper reported on Tuesday.,topStory
NYT,New York Times Company (The),20120925,NY Times to sell interest in Indeed  record $100 million gain ,The New York Times Co will sell its remaining interest in jobs search website Indeed.com  which is being acquired by Japanese executive search firm Recruit Co Ltd.,topStory
NYT,New York Times Company (The),20120925,UPDATE 2-NY Times to sell interest in Indeed  record $100 mln gain ,Sept 25 The New York Times Co will sell its remaining interest in jobs search website Indeed.com  which is being acquired by Japanese executive search firm Recruit Co Ltd.,normal
NYT,New York Times Company (The),20120925,NY Times to sell interest in Indeed  record $100 mln gain ,Sept 25 The New York Times Co will sell its remaining interest in online jobs search website Indeed.com  which is being acquired by Japan's executive search firm Recruit Co Ltd for an undisclosed amount.,normal
NMR,Nomura Holdings Inc ADR,20120925,STOCKS NEWS INDONESIA-Property owners to benefit from retail sector demand-Nomura ,Strong demand growth in the Indonesian retail sector could lead to a pricing power shift to property owners due to higher rental costs  Nomura Equity Research said.,topStory
NMR,Nomura Holdings Inc ADR,20120925,UBS names Nomura's Treacy as co-head of all industries group Asia: memo ,HONG KONG UBS AG  has hired Shaun Treacy from Nomura  as co-head of its all industries group in Asia  according to an internal memo obtained by Reuters on Tuesday.,normal
PIR,Pier 1 Imports Inc,20120925,UPDATE 1-Argentina August trade surplus jumps as imports slip ,BUENOS AIRES  Sept 25 Argentina's trade surplus doubled in August from a year ago as imports fell for a seventh straight month due to government curbs that have drawn complaints from trade partners  official data showed on Tuesday.,topStory
RBS,Royal Bank Scotland plc (The),20120925,RBS CEO warns on cost of rectifying past misconduct ,LONDON Royal Bank of Scotland's  Chief Executive Stephen Hester has warned that the part-nationalized bank faces hefty penalties for rectifying past misconduct and said the overall cost of dealing with the issues was impossible to forecast.,topStory
RBS,Royal Bank Scotland plc (The),20120925,UPDATE 1-RBS CEO warns on cost of rectifying past misconduct ,* Says correcting past misconduct will cost "lot of time  money",normal
RBS,Royal Bank Scotland plc (The),20120925,BRIEF-RBS warns penalties from past misconduct unpredictable ,LONDON  Sept 25 RBS :  * CEO says bank's recovery would be one of the largest corporate turnarounds in,normal
RBS,Royal Bank Scotland plc (The),20120925,RBS' Hester says bank targeting dividend resumption ,LONDON  Sept 25 Royal Bank of Scotland  Chief Executive Stephen Hester said on Tuesday that the bank is targeting resuming dividend payments and that completing its recovery plan should facilitate its eventual privatisation.,normal
R,Ryder System Inc,20120925,Woods accepts responsibility for U.S. Ryder Cup woes ,MEDINAH  Illinois Tiger Woods may be the greatest golfer of his generation but at the Ryder Cup he has been Joe Average and on Tuesday accepted responsibility for the dismal U.S. showing for the past 15 years.,topStory
R,Ryder System Inc,20120925,Snedeker enters foreign territory at Medinah ,MEDINAH  Illinois Rookie Brandt Snedeker knows what it is like to win $11.44 million at just one event but he is under no illusions he will have to contend with unprecedented emotion and intensity at this week's Ryder Cup.,normal
R,Ryder System Inc,20120925,Olazabal gives early clue on Cup pairings ,MEDINAH  Illinois Europe captain Jose Maria Olazabal gave an early indication of his pairings for this week's Ryder Cup by sending out his players largely under flags of nationality in groups of four for practice on Tuesday.,normal
R,Ryder System Inc,20120925,No place to hide as Ryder Cup pressure mounts ,MEDINAH  Illinois It might be hard to believe there are more pressure-packed moments in golf than standing over a four-foot putt to win a tournament and pocket a $1 million cheque.,normal
SNY,Sanofi,20120925,Sanofi cuts fewer French jobs than planned after government pressure ,PARIS French drugmaker Sanofi SA scaled back planned layoffs under pressure from the French government  which has been struggling to contain a burgeoning unemployment rate.,topStory
SNY,Sanofi,20120925,UPDATE 2-Sanofi cuts fewer French jobs than planned after govt pressure ,* Will try to find "concrete solutions" for Toulouse site   (Adds minister  trade union reaction),normal
SNY,Sanofi,20120925,Sanofi says could cut 900 jobs in France by 2015 ,PARIS  Sept 25 Sanofi said on Tuesday it could cut around 900 jobs in France by 2015  fewer than the 2 500 layoffs predicted by trade unions as part of the company's planned reshuffle of its research operations.,normal
SSD,Simpson Manufacturing Company Inc,20120925,Weeks before election  Pennsylvania voter ID law back in court ,HARRISBURG  Pennsylvania A judge who will decide whether Pennsylvania's new voter-identification law should be blocked heard testimony on Tuesday from one witness who said fears that the measure placed an unfair burden on residents were overblown.,topStory
SNE,Sony Corp Ord,20120925,Sony set for $642 million investment in Olympus: sources ,TOKYO Sony Corp  will likely approve a plan this week to invest 50 billion yen ($642 million) in cash-strapped Olympus Corp   becoming its biggest shareholder with around a 10 percent stake  three sources familiar with the deal told Reuters.,topStory
SNE,Sony Corp Ord,20120925,TEXT-S&P affirms rtgs on Sony Life Insurance and Sony Bank ,(The following statement was released by the rating agency),normal
SNE,Sony Corp Ord,20120925,UPDATE 1-Sony set for $642 mln investment in Olympus -sources ,* Sony and Olympus to establish joint medical equipment unit -sources,normal
SNE,Sony Corp Ord,20120925,TEXT-S&P: Ratings On Sony Corp. Lowered To 'BBB'  Off CreditWatch ,-- In our view  the pace of recovery in earnings of Sony's mainstay consumer electronics businesses will remain slow in fiscal 2012  and a strong recovery is not likely to occur until at least fiscal 2013.,normal
SNE,Sony Corp Ord,20120925,Sony set for $642 million investment in Olympus: sources ,TOKYO Sony Corp will likely approve a plan this week to invest 50 billion yen ($642 million) in cash-strapped Olympus Corp  becoming its biggest shareholder with around a 10 percent stake  three sources familiar with the deal told Reuters.,normal
SNE,Sony Corp Ord,20120925,Sony set for $642 mln investment in Olympus -sources ,TOKYO  Sept 25 Sony Corp will likely approve a plan this week to invest 50 billion yen ($642 million) in cash-strapped Olympus Corp  becoming its biggest shareholder with around a 10 percent stake  three sources familiar with the deal told Reuters.,normal
LUV,Southwest Airlines Company,20120925,TEXT-Fitch affirms Southwest Airlines at 'BBB' ,Sept 25 - Fitch Ratings has affirmed the Issuer Default Rating (IDR) of Southwest Airlines Co. (NYSE: LUV) at 'BBB'. The Rating Outlook is Stable.  The ratings apply to approximately $2 billion in outstanding debt. A full list of all ratings is provided at the end of this release.  LUV's credit is supported by its competitive strength across its extensive  domestic markets  and relatively low cost structure  which has enabled the  airline to be consistently profitable even through downturns. In ,topStory
STO,Statoil ASA,20120925,UPDATE 2-NORDIC STOCKS - Factors to watch on Sept 25 ,(Adds Vestjysk Bank  Spar Lolland  A.P. Moller-Maersk  Statoil  Volvo and Nokia job cuts),topStory
SYK,Stryker Corporation,20120925,Stryker widens recall of surgical waste management line ,Stryker Corp said on Tuesday it expanded the recall of its Neptune surgical waste management product line to include later versions because U.S. health authorities have advised the company that these devices do not have proper regulatory clearance.,topStory
SYK,Stryker Corporation,20120925,UPDATE 1-Stryker widens recall of surgical waste management line ,Sept 25 Stryker Corp said on Tuesday it expanded the recall of its Neptune surgical waste management product line to include later versions because U.S. health authorities have advised the company that these devices do not have proper regulatory clearance.,normal
SYK,Stryker Corporation,20120925,Stryker expands recall of Neptune waste management system ,Sept 25 Stryker Corp said on Tuesday it expanded the recall of its Neptune waste management product line to include later versions because U.S. health authorities have advised the company that these devices do not have proper regulatory clearance.,normal
TRI,Thomson Reuters Corp,20120925,MIDCAP-Sampoerna Agro lags on earnings quality in Indonesia consumer staples ,Indonesia's Sampoerna Agro emerges as the worst performer on earnings quality among 15 companies in the country's consumer staples sector  Thomson Reuters StarMine data shows.,topStory
TRI,Thomson Reuters Corp,20120925,REFILE-Indonesia-Market factors to watch on Sept 25 ,(Refiles to fix formatting)     JAKARTA  Sept 25 Following is some company-related and market news that could have an impact on the local market.  ----------------------MARKET SNAPSHOT @ 0147 GMT ------------                       INSTRUMENT   LAST       PCT CHG   NET CHG   S&P 500                   1456.89     -0.22%    -3.260   USD/JPY                   77.84       -0.01%    -0.010   10-YR US TSY YLD     1.7215          --     0.007   SPOT GOLD                 1765.71      0.12%   ,normal
TRI,Thomson Reuters Corp,20120925,Sony set for $642 mln investment in Olympus -sources ,TOKYO  Sept 25 Sony Corp will likely approve a plan this week to invest 50 billion yen ($642 million) in cash-strapped Olympus Corp  becoming its biggest shareholder with around a 10 percent stake  three sources familiar with the deal told Reuters.,normal
TOT,Total SA,20120925,Total chief warns against Arctic drilling - FT ,LONDON  Sept 26 Energy companies should not drill for crude oil in Arctic waters because the environmental risks are too high  Total SA Chief Executive Officer Christophe de Margerie said in the Financial Times on Wednesday.,topStory
TOT,Total SA,20120925,French court upholds Total conviction in Erika oil spill ,PARIS France's highest court upheld a conviction against oil major Total SA over a 1999 oil spill  in a blow to the company which had hoped it would be absolved of blame for one of France's worst environmental disasters.,normal
TOT,Total SA,20120925,French court upholds Total conviction in Erika oil spill ,PARIS  Sept 25 France's highest court upheld a conviction against oil giant Total on Tuesday over an 1999 oil spill  in a blow to the company which had hoped it would be absolved of blame for one of France's worst environmental disasters.,normal
TM,Toyota Motor Corp Ltd Ord,20120925,PRESS DIGEST - Financial Times - Sept 26 ,The British Bankers' Association (BBA) is willing to give up its responsibility for setting the Libor interbank borrowing rate.,topStory
TM,Toyota Motor Corp Ltd Ord,20120925,Toyota  Nissan to cut output in China on island row:  Nikkei ,Toyota Motor Corp  and Nissan Motor Co Ltd  will cut production in China as rising anti-Japan sentiment in the country hurt sales  the Nikkei said.,normal
TM,Toyota Motor Corp Ltd Ord,20120925,Toyota  Nissan to cut output in China on island row - Nikkei ,Sept 26 Toyota Motor Corp and Nissan Motor Co Ltd will cut production in China as rising anti-Japan sentiment in the country hurt sales  the Nikkei said.,normal
UAL,United Continental Holdings Inc,20120925,United Continental to receive its first Boeing 787 this week ,United Continental Holdings Inc  will become the first U.S. airline to take delivery of Boeing Co's 787 Dreamliner airplane this week  the world's largest airline said on Monday.,topStory
WMT,Wal-Mart Stores Inc,20120925,Kiddie tablets and other tech toys top Toy Insider gift list ,Tablets made for young kids and other electronic toys are expected to be found under many Christmas trees this year  as parents who are fans of gadgets such as Apple Inc's  iPad look for products tailored to the younger set.,topStory
WFT,Weatherford International plc,20120925,Weatherford gets extension for 2nd-quarter reporting deadline ,Sept 25 Oilfield services company Weatherford International Ltd has been given more time to work out tax structure problems that have already led to more than $800 million in additional expenses spread over the past five years.,topStory
