ACIW,ACI Worldwide Inc,20110831,UPDATE 1-S1 tells shareholders to sit tight on ACI offer , Aug 31 Payment processing technology provider S1 Corp has advised shareholders to take no action  a day after larger rival ACI Worldwide went hostile with a more than $500 million bid.,topStory
COP,ConocoPhillips,20110831,UPDATE 1-Chevron won't spin off refining -CEO , HOUSTON  Aug 31 Chevron Corp  is not interested in spinning off its refineries into a separate company as Marathon Oil Corp  has done and ConocoPhillips  plans to do  CEO John Watson told reporters in Houston on Wednesday.,normal
COP,ConocoPhillips,20110831,Union faults Sunoco on Irene preparations , HOUSTON  Aug 31 The United Steelworkers union said on Wednesday Sunoco Inc  gambled with the safety of refinery workers and its 335 000 barrel per day (bpd) Philadelphia refinery by operating through Hurricane Irene without back-up equipment.,normal
COP,ConocoPhillips,20110831,Chevron won't spin off refining-CEO , HOUSTON  Aug 31 Chevron Corp  is not interested in spinning off its refineries into a separate company as Marathon Oil Corp  has done and ConocoPhillips  plans to do  CEO John Watson told reporters in Houston on Wednesday.,normal
COP,ConocoPhillips,20110831,North Sea Crude-Forties hits highest since 2008 , LONDON  Aug 31 North Sea Forties crude differentials reached the highest in more than three years on Wednesday  supported by increasing demand and reduced supplies.,normal
COP,ConocoPhillips,20110831,ConocoPhillips says China oil leaks sealed before deadline , BEIJING  Aug 31 A ConocoPhillips  subsidiary  an oil spill by which polluted 5 500 square kilometres of water in China's northern Bohai Bay  said it had already sealed off the leaks ahead of an Aug. 31 deadline.,normal
COP,ConocoPhillips,20110831,TEXT-Fitch:Global CDS stumble again on sovereign & oil & gas concerns , (The following statement was released by the rating agency),normal
COO,Cooper Companies Inc (The),20110831,UPDATE 1-Cooper Cos Q3 beats Street  ups FY11 view , Aug 31 Contact lens maker Cooper Cos Inc  posted a quarterly profit that topped market expectations on strong sales of its non-single use lenses and toric lenses  and raised its fiscal 2011 forecast.,topStory
CTB,Cooper Tire & Rubber Company,20110831,UPDATE 2-Cooper Standard looking for a buyer -- sources , * Initial bids in  private equity looking--sources  (Adds background about industry  TI Automotive),topStory
CTB,Cooper Tire & Rubber Company,20110831,Cooper Standard looking for a buyer -- sources , NEW YORK  Aug 31 U.S. auto parts supplier Cooper Standard Holdings Inc  is looking for a buyer more than a year after emerging from bankruptcy and has hired bankers to advise on the process  people familiar with the matter said.,normal
CLGX,CoreLogic Inc,20110831,Home prices edge up in July: CoreLogic ,NEW YORK Home prices edged up for the fourth month in a row in July  while the yearly rate of decline moderated  data analysis company CoreLogic Inc said on Wednesday.,topStory
CLGX,CoreLogic Inc,20110831,U.S. home prices edge up in July-CoreLogic , NEW YORK  Aug 31 U.S. home prices edged up for the fourth month in a row in July  while the yearly rate of decline moderated  data analysis company CoreLogic Inc said on Wednesday.,normal
CPG,Crescent Point Energy Corporation,20110831,UPDATE 1-Crescent Point buys oil assets in Bakken Shale , Aug 31 Crescent Point Energy said it acquired 750 barrels of oil equivalent per day of production and land sections in North Dakota for about C$164 million in the third quarter of this year.,topStory
CVS,CVS Health Corporation,20110831,UPDATE 2-Walgreen plans for life after Express Scripts , * Companies disagree on prescription reimbursement rates,topStory
CB,D/B/A Chubb Limited New,20110831,Insurers escape Irene's wrath  economy does not ,NEW YORK Hurricane Irene may heap billions of dollars of extra costs on the already fragile U.S. economy  but insurance companies are likely to emerge relatively unscathed.,topStory
CB,D/B/A Chubb Limited New,20110831,INSIGHT-Insurers escape Irene's wrath  economy does not , NEW YORK  Aug 31 Hurricane Irene may heap billions of dollars of extra costs on the already fragile U.S. economy  but insurance companies are likely to emerge relatively unscathed.,normal
DB,Deutsche Bank AG,20110831,Bankers may lose big if AT&T deal collapses ,LONDON/NEW YORK U.S. antitrust regulators may have dealt a body blow to an already fragile mergers and acquisitions market with their decision to block AT&T Inc's $39 billion deal to buy T-Mobile USA.,topStory
DB,Deutsche Bank AG,20110831,UPDATE 1-Bankers may lose big if AT&T deal collapses , * Advisers stand to lose $150 mln in fees on T-Mobile deal,normal
DB,Deutsche Bank AG,20110831,AT&T  T-Mobile banks could lose $150 million in fees ,LONDON Advisers to AT&T and Deutsche Telekom's T-Mobile USA stand to lose $150 million in fees if the $39 billion deal collapses in what would be a massive blow to the increasingly fragile deals market.,normal
DB,Deutsche Bank AG,20110831,AT&T  T-Mobile banks could lose $150 mln in fees , LONDON  Aug 31 Advisers to AT&T  and Deutsche Telekom's  T-Mobile USA stand to lose $150 million in fees if the $39 billion deal collapses in what would be a massive blow to the increasingly fragile deals market.,normal
DB,Deutsche Bank AG,20110831,Ackermann: euro bonds a last resort  wrong for now , BERLIN  Aug 31 Deutsche Bank  Chief Executive Joseph Ackermann said on Wednesday he saw issuing common euro zone bonds as a last resort but that they were the wrong measure for now.,normal
DB,Deutsche Bank AG,20110831,RHJ International continues to look for BHF deal partner , BRUSSELS  Aug 31 Belgian investment firm RHJ International (RHJI)   which owns private bank Kleinwort Benson  said it is continuing to look for partners for its takeover of Deutsche Bank's  BHF unit.,normal
DB,Deutsche Bank AG,20110831,Plan tomorrow's leadership today  investors urge , LONDON  Aug 31 Many of the world's biggest companies are failing to devise solid succession plans for the brand-heroes seen as the engines behind their businesses  investors say.,normal
DB,Deutsche Bank AG,20110831,Finland picks banks to lead new benchmark bond ,HELSINKI Finland state treasury said on Wednesday it has picked five banks to lead a new five-year euro benchmark bond  which is expected to raise around 3-5 billion euros ($4.3-$7.2 billion).,normal
DB,Deutsche Bank AG,20110831,Finland picks banks to lead new benchmark bond , HELSINKI  Aug 31  Finland state treasury said on Wednesday it has picked five banks to lead a new five-year euro benchmark bond  which is expected to raise around 3-5 billion euros ($4 3-$7 2 billion).,normal
DB,Deutsche Bank AG,20110831,Mongolia plans Tavan Tolgoi IPO in three cities - WSJ , HONG KONG  Aug 31 Mongolia's government plans to list state-owned Erdenes-Tavan Tolgoi  which controls one of the world's largest untapped coking coal deposits  in Hong Kong  London and Ulan Bator  the Wall Street Journal reported on Wednesday  citing unnamed people familiar with the plans.,normal
DVN,Devon Energy Corporation,20110831,Exxon/Rosneft deal closes another door to BP ,Unwelcome in the Gulf of Mexico since last year's oil spill and now spurned by the political elite in Russia  BP  is hamstrung in two key producing zones and needs new sources of growth and security of supply.,topStory
DVN,Devon Energy Corporation,20110831,UPDATE 1-Exxon/Rosneft deal closes another door to BP , * Raid on Moscow office highlights vulnerability in Russia,normal
D,Dominion Energy Inc,20110831,U.S. nuclear regulator eyes to-do list after Fukushima ,WASHINGTON The U.S. nuclear regulator is refining a plan to change its rules for power plants following Japan's Fukushima disaster  selecting half a dozen high-priority items to tackle first  senior staff said.,topStory
D,Dominion Energy Inc,20110831,US nuclear regulator eyes to-do list after Fukushima , WASHINGTON  Aug 31 The U.S. nuclear regulator is refining a plan to change its rules for power plants following Japan's Fukushima disaster  selecting half a dozen high-priority items to tackle first  senior staff said.,normal
DCUD,Dominion Energy Inc,20110831,U.S. nuclear regulator eyes to-do list after Fukushima ,WASHINGTON The U.S. nuclear regulator is refining a plan to change its rules for power plants following Japan's Fukushima disaster  selecting half a dozen high-priority items to tackle first  senior staff said.,topStory
DCUD,Dominion Energy Inc,20110831,US nuclear regulator eyes to-do list after Fukushima , WASHINGTON  Aug 31 The U.S. nuclear regulator is refining a plan to change its rules for power plants following Japan's Fukushima disaster  selecting half a dozen high-priority items to tackle first  senior staff said.,normal
DRUA,Dominion Energy Inc,20110831,U.S. nuclear regulator eyes to-do list after Fukushima ,WASHINGTON The U.S. nuclear regulator is refining a plan to change its rules for power plants following Japan's Fukushima disaster  selecting half a dozen high-priority items to tackle first  senior staff said.,topStory
DRUA,Dominion Energy Inc,20110831,US nuclear regulator eyes to-do list after Fukushima , WASHINGTON  Aug 31 The U.S. nuclear regulator is refining a plan to change its rules for power plants following Japan's Fukushima disaster  selecting half a dozen high-priority items to tackle first  senior staff said.,normal
RDY,Dr Reddy&#39;s Laboratories Ltd,20110831,Pfizer  Dr. Reddy's settle Lipitor patent battle ,NEW YORK Pfizer Inc  reached a settlement with Dr. Reddy's Laboratories   an Indian drugmaker that has been fighting in court to launch cheaper generic forms of Pfizer's blockbuster cholesterol fighter  the companies said on Wednesday .,topStory
RDY,Dr Reddy&#39;s Laboratories Ltd,20110831,UPDATE 1-Pfizer  Dr. Reddy's settle Lipitor patent battle , NEW YORK  Aug 31 Pfizer Inc  reached a settlement with Dr. Reddy's Laboratories   an Indian drugmaker that has been fighting in court to launch cheaper generic forms of Pfizer's blockbuster cholesterol fighter  the companies said on Wednesday .,normal
ENB,Enbridge Inc,20110831,UPDATE 2-BP's US Gulf Destin gas line declares force majeure , * Onshore receipts not affected by force majeure outage,topStory
E,ENI SpA,20110831,REFILE-Eni aims Oct 15 restart for Libya Greenstream gas-ANSA , (Sends to additional subscribers  no change to text)	 MILAN  Aug 31 Eni hopes to bring the Libyan Greenstream gas pipeline back online by mid-October  ANSA news agency quoted  the Italian oil and gas group's chief executive as saying on Wednesday.,topStory
E,ENI SpA,20110831,Italian Stocks - Factors to watch on Aug 31 , MILAN  Aug 31 The following factors could affect Italian markets on Wednesday.,normal
EVR,Evercore Inc,20110831,AT&T  T-Mobile banks could lose $150 million in fees ,LONDON Advisers to AT&T and Deutsche Telekom's T-Mobile USA stand to lose $150 million in fees if the $39 billion deal collapses in what would be a massive blow to the increasingly fragile deals market.,topStory
EVR,Evercore Inc,20110831,AT&T  T-Mobile banks could lose $150 mln in fees , LONDON  Aug 31 Advisers to AT&T  and Deutsche Telekom's  T-Mobile USA stand to lose $150 million in fees if the $39 billion deal collapses in what would be a massive blow to the increasingly fragile deals market.,normal
XOM,Exxon Mobil Corporation,20110831,Oil firms start U.S. Gulf evacuations due to weather ,HOUSTON BP Plc on Wednesday became the first major oil producer to say it was evacuating some workers from Gulf of Mexico oil and gas platforms because of a tropical disturbance that could become a named storm this week.,topStory
XOM,Exxon Mobil Corporation,20110831,UPDATE 2-Oil firms start US Gulf evacuations due to weather , * Other oil producers monitoring weather system  (Updates with Anadarko evacuating workers  adds details  background  bylines),normal
XOM,Exxon Mobil Corporation,20110831,Deals of the day -- mergers and acquisitions , Aug 31 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 1400 GMT on Wednesday:,normal
XOM,Exxon Mobil Corporation,20110831,UPDATE 1-Chevron still talking to Rosneft after Exxon deal , HOUSTON  Aug 31 Chevron Corp   the second-largest U.S. oil company  is still talking with Rosneft  about potential deals  despite the pact signed between larger rival Exxon Mobil Corp  and the Russian state-owned oil company.,normal
XOM,Exxon Mobil Corporation,20110831,New blow for BP in Russia as office raided ,MOSCOW Black-clad special forces raided BP's Moscow offices on Wednesday  deepening the British company's problems in Russia after its attempts to salvage an oil exploration agreement in the Russian Arctic collapsed. | Video ,normal
XOM,Exxon Mobil Corporation,20110831,Analysis: Exxon deal sets stage for Putin return to Kremlin ,MOSCOW Prime Minister Vladimir Putin's blessing of a deal with ExxonMobil to extract oil and gas from the Russian Arctic sends a strong signal that he will return to the Kremlin in an election next year.,normal
XOM,Exxon Mobil Corporation,20110831,Timeline: Highs and lows for Putin-Medvedev duo ,Russian Prime Minister Vladimir Putin is widely expected to run for president in the 2012 election but President Dmitry Medvedev has indicated he would like to stay on if his mentor decides not to run.,normal
XOM,Exxon Mobil Corporation,20110831,TIMELINE-Highs and lows for Putin-Medvedev duo , Aug 31 Russian Prime Minister Vladimir Putin is widely expected to run for president in the 2012 election but President Dmitry Medvedev has indicated he would like to stay on if his mentor decides not to run.,normal
XOM,Exxon Mobil Corporation,20110831,Exxon/Rosneft deal closes another door to BP ,Unwelcome in the Gulf of Mexico since last year's oil spill and now spurned by the political elite in Russia  BP  is hamstrung in two key producing zones and needs new sources of growth and security of supply.,normal
XOM,Exxon Mobil Corporation,20110831,UPDATE 1-Exxon/Rosneft deal closes another door to BP , * Raid on Moscow office highlights vulnerability in Russia,normal
F,Ford Motor Company,20110831,UAW Ford workers ready to OK routine strike vote ,DETROIT A vote by Ford Motor Co union workers to authorize a strike if negotiations between the United Auto Workers and Ford turn sour is well on its way to passage  union officials said on Wednesday.,topStory
F,Ford Motor Company,20110831,UAW Ford workers ready to OK routine strike vote , DETROIT  Aug 31 A vote by Ford Motor Co  union workers to authorize a strike if negotiations between the United Auto Workers and Ford turn sour is well on its way to passage  union officials said on Wednesday.,normal
F,Ford Motor Company,20110831,US SMALL/MIDCAPS-Stocks fall for fourth month running , NEW YORK  Aug 31 Mid- and small-capitalization stocks on Wednesday marked their fourth straight monthly decline even as renewed hopes for further stimulus from the U.S. central bank helped cut the month's losses.,normal
F,Ford Motor Company,20110831,UPDATE 2-Cooper Standard looking for a buyer -- sources , * Initial bids in  private equity looking--sources  (Adds background about industry  TI Automotive),normal
F,Ford Motor Company,20110831,Ford partners with Zipcar to supply cars to campuses ,Ford Motor Co  said it partnered with Zipcar Inc  to supply its vehicles to the car-sharing company's core customer base at more than 250 university campuses throughout the United States.,normal
F,Ford Motor Company,20110831,PRESS DIGEST - New York Times business news - Aug 31 , Aug 31 The following were the top stories in The New York Times business pages on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
FRO,Frontline Ltd,20110831,RPT-Frontline CEO says not planning to raise equity , OSLO  Aug 31 Oil tanker group Frontline  is looking at ways to finance the company but raising equity is not the primary option  Chief Executive Jens Martin Jensen told Reuters.,topStory
FRO,Frontline Ltd,20110831,Frontline CEO says not planning to raise equity , OSLO  Aug 31 Oil tanker group Frontline  is looking at ways to finance the company but raising equity is not the primary option  Chief Executive Jens Martin Jensen told Reuters.,normal
FCN,FTI Consulting Inc,20110831,AT&T economic model failed to sway antitrust chiefs ,WASHINGTON AT&T Inc employed a small army of economists to promote its plan to buy smaller rival T-Mobile but the Justice Department viewed the deal as snuffing out a plucky competitor to the detriment of consumers.,topStory
FCN,FTI Consulting Inc,20110831,AT&T economic model failed to sway antitrust chiefs , * AT&T engaged economists with Washington connections,normal
GPS,Gap Inc (The),20110831,Americans not scrimping on clothes this fall: study ,BANGALORE Shoppers may not be feeling too good about the economy  but that is not stopping them from adding clothes and shoes to their wardrobes  a recent study shows.,topStory
GPS,Gap Inc (The),20110831,Americans not scrimping on clothes this fall - study , BANGALORE  Aug 31 Shoppers may not be feeling too good about the economy  but that is not stopping them from adding clothes and shoes to their wardrobes  a recent study shows.,normal
GEK,General Electric Capital Corporation,20110831,UPDATE 2-Some US firms paid more to CEOs than taxes -study , * Call for hearings in Congress on executive pay  (Adds eBay comment  additional study),topStory
GEK,General Electric Capital Corporation,20110831,Some U.S. firms paid more to CEOs than taxes: study ,WASHINGTON Twenty-five of the 100 highest paid U.S. CEOs earned more last year than their companies paid in federal income tax  a pay study by a Washington think tank said on Wednesday.,normal
GEK,General Electric Capital Corporation,20110831,CORRECTED - Study: Some US firms paid more to CEOs than taxes , (Corrects Boeing CEO Jim McNerney pay to $13.8 million  not billion  in 11th paragraph),normal
GE,General Electric Company,20110831,UPDATE 2-Some US firms paid more to CEOs than taxes -study , * Call for hearings in Congress on executive pay  (Adds eBay comment  additional study),topStory
GE,General Electric Company,20110831,Some U.S. firms paid more to CEOs than taxes: study ,WASHINGTON Twenty-five of the 100 highest paid U.S. CEOs earned more last year than their companies paid in federal income tax  a pay study by a Washington think tank said on Wednesday.,normal
GE,General Electric Company,20110831,CORRECTED - Study: Some US firms paid more to CEOs than taxes , (Corrects Boeing CEO Jim McNerney pay to $13.8 million  not billion  in 11th paragraph),normal
GM,General Motors Company,20110831,UAW Ford workers ready to OK routine strike vote ,DETROIT A vote by Ford Motor Co union workers to authorize a strike if negotiations between the United Auto Workers and Ford turn sour is well on its way to passage  union officials said on Wednesday.,topStory
GM,General Motors Company,20110831,UAW Ford workers ready to OK routine strike vote , DETROIT  Aug 31 A vote by Ford Motor Co  union workers to authorize a strike if negotiations between the United Auto Workers and Ford turn sour is well on its way to passage  union officials said on Wednesday.,normal
GM,General Motors Company,20110831,UPDATE 2-Cooper Standard looking for a buyer -- sources , * Initial bids in  private equity looking--sources  (Adds background about industry  TI Automotive),normal
GG,Goldcorp Inc,20110831,CORRECTED - CANADA STOCKS-TSX rallies to 2-wk high on commodities , (Corrects Tuesday report to show market rallied for third straight day  not fourth),topStory
GS,Goldman Sachs Group Inc (The),20110831,U.S. should publicize energy trader positions: group ,WASHINGTON The U.S. futures regulator should be required to make public the size and nature of energy trader positions each week  a consumer advocacy group said on Wednesday  the latest call to change the way market-sensitive data is handled.,topStory
GS,Goldman Sachs Group Inc (The),20110831,UPDATE 1-US should publicize energy trader positions -group ,  WASHINGTON  Aug 31 The U.S. futures regulator should be required to make public the size and nature of energy trader positions each week  a consumer advocacy group said on Wednesday  the latest call to change the way market-sensitive data is handled.,normal
GS,Goldman Sachs Group Inc (The),20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
GS,Goldman Sachs Group Inc (The),20110831,US should publicize energy trader positions -group ,  WASHINGTON  Aug 31 The U.S. futures regulator should be required to make public the size and nature of energy trader positions each week  a consumer advocacy group said on Wednesday  the latest call to change the way market-sensitive data is handled.,normal
GS,Goldman Sachs Group Inc (The),20110831,Target in JPMorgan CDO fraud seeks to end SEC case , * Defendant said to hide hedge fund's role in Squared CDO,normal
GS,Goldman Sachs Group Inc (The),20110831,Mongolia plans Tavan Tolgoi IPO in three cities - WSJ , HONG KONG  Aug 31 Mongolia's government plans to list state-owned Erdenes-Tavan Tolgoi  which controls one of the world's largest untapped coking coal deposits  in Hong Kong  London and Ulan Bator  the Wall Street Journal reported on Wednesday  citing unnamed people familiar with the plans.,normal
GS,Goldman Sachs Group Inc (The),20110831,Exclusive: Bank of America kept AIG legal threat under wraps ,NEW YORK Top Bank of America Corp lawyers knew as early as January that American International Group Inc was prepared to sue the bank for more than $10 billion  seven months before the lawsuit was filed  according to sources familiar with the matter.,normal
GS,Goldman Sachs Group Inc (The),20110831,Foreign banks seek to advise VietinBank's offshore bond , HANOI  Aug 31 Ten foreign bidders have submitted bids to become advisers for VietinBank   Vietnam's largest partly private lender by assets  as it seeks to raise up to $1 billion via international bonds  an official at the Vietnamese bank said on Wednesday.,normal
TV,Grupo Televisa SA,20110831,DIARY - Mexico and Central America - to Sept 30 , This diary is updated daily. All dates and times are provisional. The inclusion of diary items does not necessarily   mean that Reuters will file a story based on the event. _______________________________________________________________ DATE  LOCAL/GMT  MEXICO INDICATOR         PERIOD  F/CAST  PREV --------------------------------------------------------------- SEP05 0900/1400  consumer confidence       Aug        95.5 pts SEP09 0900/1400  inflation  (headline)     Aug        0.48 pct SEP12 09,topStory
HES,Hess Corporation,20110831,TEXT-S&P: Lowers HOVENSA's Senior Secured Debt Rating To 'B' ,  -- Virgin Islands crude oil refiner HOVENSA LLC has reduced its capacity by 150 000 barrels per day to lower costs and improve efficiency.,topStory
HES,Hess Corporation,20110831,U.S. oil terminals return to normal after Irene , NEW YORK  Aug 31 Operations at the majority of petroleum terminals along the Northeastern U.S. have returned to normal after Hurricane Irene swept up the coast over the weekend.,normal
HON,Honeywell International Inc,20110831,Wall Street ends worst month in year on upbeat note ,NEW YORK Stocks closed out the worst month in more than a year on an up note on Wednesday  with sharp gains in the last several days still not enough to repair the damage from a U.S. credit downgrade and fears of a slide back into recession. | Video ,topStory
HON,Honeywell International Inc,20110831,US STOCKS-Wall St ends worst month in year on upbeat note , * Telecom falls on questions about AT&T  T-Mobile deal,normal
HON,Honeywell International Inc,20110831,US STOCKS-Wall St edge up again on stimulus hopes , * Telecom falls on questions about AT&T  T-Mobile deal,normal
HON,Honeywell International Inc,20110831,US STOCKS-Stimulus hopes lift Wall St but telecoms drag , * Indexes up: Dow 0.7 pct  S&P 0.8 pct  Nasdaq 0.4 pct,normal
HPQ,HP Inc,20110831,Former Galleon trader handed 5-1/2-year sentence ,NEW YORK A former trader at the Galleon Group hedge fund was sentenced on Wednesday to five-and-a-half years in prison  a term the judge said should serve as a warning to Wall Street that insider trading was a serious crime.,topStory
HPQ,HP Inc,20110831,UPDATE 1-Former Galleon trader handed 5-1/2-year sentence , * Trader ordered to pay $11 million in restitution  (Adds government had sought heavier sentence),normal
HPQ,HP Inc,20110831,Former Galleon trader handed 5-1/2-year sentence , NEW YORK  Aug 31 A former trader at the Galleon Group hedge fund was sentenced on Wednesday to five-and-a-half years in prison  a term the judge said should serve as a warning to Wall Street that insider trading was a serious crime.,normal
HPQ,HP Inc,20110831,Analysis: Big-name stocks cheaper than during 2008-09 crisis ,NEW YORK One out of every 10 companies in the S&P 500 index -- including stalwarts like Apple and JPMorgan Chase -- is now cheaper than during the 2008-2009 market meltdown.,normal
HPQ,HP Inc,20110831,RIM's head of developer relations resigns ,TORONTO Research In Motion's head of developer relations  Mike Kirkup  has resigned  the latest in a string of departures as the BlackBerry maker seeks to claw back ground lost to Apple and Google.,normal
HPQ,HP Inc,20110831,RIM's head of developer relations resigns , * Developers prefer writing for Apple  Android platforms,normal
HPQ,HP Inc,20110831,UPDATE 2-Taiwan PC makers cautious as tablets  weak economy bite , * Quanta Q2 net up 5.1 pct to T$5.37 bln vs consensus T$5.2 bln,normal
HPQ,HP Inc,20110831,Sony may stumble in bid to become tablet No.2 , TOKYO  Aug 31 Sony Corp's new tablet computers  expected to be launched on Wednesday  face an uphill battle against dominant players Apple Inc and Samsung Electronics   with the gadget's expected pricing in particular raising red flags.,normal
HPQ,HP Inc,20110831,PRESS DIGEST - New York Times business news - Aug 31 , Aug 31 The following were the top stories in The New York Times business pages on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
HPQ,HP Inc,20110831,HP resurrects TouchPad for one last go at the iPad ,LOS ANGELES Hewlett Packard Co plans to crank out "one last run" of TouchPads  days after declaring it will kill off a line of tablets that failed to challenge Apple Inc's command of the booming market.,normal
HSBC,HSBC Holdings plc,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
HSBC,HSBC Holdings plc,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
HSBC,HSBC Holdings plc,20110831,Plan tomorrow's leadership today  investors urge ,LONDON Many of the world's biggest companies are failing to devise solid succession plans for the brand-heroes seen as the engines behind their businesses  investors say.,normal
HSBC,HSBC Holdings plc,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
HSBC,HSBC Holdings plc,20110831,Plan tomorrow's leadership today  investors urge , LONDON  Aug 31 Many of the world's biggest companies are failing to devise solid succession plans for the brand-heroes seen as the engines behind their businesses  investors say.,normal
HSBC,HSBC Holdings plc,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
HSBC,HSBC Holdings plc,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
HSBC,HSBC Holdings plc,20110831,Foreign banks seek to advise VietinBank's offshore bond , HANOI  Aug 31 Ten foreign bidders have submitted bids to become advisers for VietinBank   Vietnam's largest partly private lender by assets  as it seeks to raise up to $1 billion via international bonds  an official at the Vietnamese bank said on Wednesday.,normal
HSEA,HSBC Holdings plc,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
HSEA,HSBC Holdings plc,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
HSEA,HSBC Holdings plc,20110831,Plan tomorrow's leadership today  investors urge ,LONDON Many of the world's biggest companies are failing to devise solid succession plans for the brand-heroes seen as the engines behind their businesses  investors say.,normal
HSEA,HSBC Holdings plc,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
HSEA,HSBC Holdings plc,20110831,Plan tomorrow's leadership today  investors urge , LONDON  Aug 31 Many of the world's biggest companies are failing to devise solid succession plans for the brand-heroes seen as the engines behind their businesses  investors say.,normal
HSEA,HSBC Holdings plc,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
HSEA,HSBC Holdings plc,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
HSEA,HSBC Holdings plc,20110831,Foreign banks seek to advise VietinBank's offshore bond , HANOI  Aug 31 Ten foreign bidders have submitted bids to become advisers for VietinBank   Vietnam's largest partly private lender by assets  as it seeks to raise up to $1 billion via international bonds  an official at the Vietnamese bank said on Wednesday.,normal
HSEB,HSBC Holdings plc,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
HSEB,HSBC Holdings plc,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
HSEB,HSBC Holdings plc,20110831,Plan tomorrow's leadership today  investors urge ,LONDON Many of the world's biggest companies are failing to devise solid succession plans for the brand-heroes seen as the engines behind their businesses  investors say.,normal
HSEB,HSBC Holdings plc,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
HSEB,HSBC Holdings plc,20110831,Plan tomorrow's leadership today  investors urge , LONDON  Aug 31 Many of the world's biggest companies are failing to devise solid succession plans for the brand-heroes seen as the engines behind their businesses  investors say.,normal
HSEB,HSBC Holdings plc,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
HSEB,HSBC Holdings plc,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
HSEB,HSBC Holdings plc,20110831,Foreign banks seek to advise VietinBank's offshore bond , HANOI  Aug 31 Ten foreign bidders have submitted bids to become advisers for VietinBank   Vietnam's largest partly private lender by assets  as it seeks to raise up to $1 billion via international bonds  an official at the Vietnamese bank said on Wednesday.,normal
IAG,Iamgold Corporation,20110831,Dealtalk: Northgate bid a risky step in AuRico makeover ,TORONTO AuRico Gold  is having a difficult time escaping the image of being a miner more prone to delivering disappointment than gold bars.,topStory
IAG,Iamgold Corporation,20110831,DEALTALK-Northgate bid a risky step in AuRico makeover , TORONTO  Aug 31 AuRico Gold  is having a difficult time escaping the image of being a miner more prone to delivering disappointment than gold bars.,normal
IBM,International Business Machines Corporation,20110831,Salesforce.com's Benioff inspired by Arab Spring ,SAN FRANCISCO Web-based software maker Salesforce.com Inc's Chief Executive Marc Benioff unveiled a slew of social networking tools and said he was inspired by recent revolutions in Egypt and Libya.,topStory
IBM,International Business Machines Corporation,20110831,Salesforce.com's Benioff inspired by Arab Spring , SAN FRANCISCO  Aug 31 Web-based software maker Salesforce.com  Inc's chief executive  Marc Benioff  unveiled a slew of social networking tools and said he was inspired by recent revolutions in Egypt and Libya.,normal
