AMCX,AMC Networks Inc,20121102,DIARY-NON S&P WEEK AHEAD - Part II ,** For events before Nov. 8 - please click on or .       - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS 08 Nov           Q3 2012 AAON                                  0.23     1     0.23 08 Nov    BMO    Q3 2012 Advance Auto Parts                       1.22    20   ,topStory
TEF,Telefonica SA,20121102,Telefonica sells travel agency in debt-cutting drive ,MADRID  Nov 2 Indebted Spanish telecoms company Telefonica and leisure group Orizonia have sold their jointly-held online travel agency Rumbo to Switzerland's Bravofly  they said in a joint statement on Friday.,topStory
TRI,Thomson Reuters Corp,20121102,Mars rover still sniffing for elusive methane ,CAPE CANAVERAL  Fla.  Nov 2 - Initial analysis of the atmosphere of Mars from NASA's rover Curiosity has shown no sign of methane  a gas detected previously by remote sensors  researchers said on Friday.,topStory
TRI,Thomson Reuters Corp,20121102,BRIEF-Thomson Reuters does not expect net sales to financial institutions to turn positive in Q4 - CEO ,Nov 2 Thomson Reuters Corp :  * Does not expect net sales to financial institutions to turn positive in Q4 -,normal
TWX,Time Warner Inc,20121102,Photojournalists "Witness" war zones in new HBO series ,NEW YORK Some people liken a bad day at work to being in a war zone but for the photojournalists chronicled in HBO's upcoming documentary series "Witness " that's not an exaggeration.,topStory
TWI,Titan International Inc,20121102,BRIEF - Moody's raises Titan International rating to B1 ,Nov 2 Moody's raises Titan International corporate family rating to B1 from B2; outlook stable,topStory
USB,US Bancorp,20121102,Singapore Stocks - Factors to watch on Nov 2 ,Following are some company-related and market news which could have an impact on the local market.                                                                                         ----------------------MARKET SNAPSHOT @ 0012 GMT ------------                      INSTRUMENT   LAST       PCT CHG   NET CHG  S&P 500                          1427.59      1.09%    15.430  USD/JPY                          80.18        0.06%     0.050  10-YR US TSY YLD                 1.7295          --     0.000,topStory
UN,Unilever NV,20121102,Unilever swaps earnings rat race for sustainability ,WASHINGTON Around the time of the 2008 global financial meltdown  consumer products giant Unilever decided to make a dramatic shift in strategy  away from meeting investors' quarterly expectations to a long-range plan that treads lightly on the environment and supports social goals.,topStory
UPS,United Parcel Service Inc,20121102,EU's Almunia wants substantial UPS  Hutchison concessions ,BRUSSELS  Nov 2 The EU antitrust chief called on United Parcel Service Inc on Friday to come up with significant concessions to allay concerns that its 5.2 billion-euro ($6.68 billion) bid for Dutch peer TNT Express  may hurt rivals and consumers.,topStory
VRX,Valeant Pharmaceuticals International Inc,20121102,CORRECTED-Valeant profit slides  narrows 4th-qtr cash EPS forecast ,(Corrects headline and paragraph 1 to say the company narrowed its cash EPS forecast  it did not cut its profit forecast for the fourth quarter),topStory
VZ,Verizon Communications Inc,20121102,Verizon sees savings on labor pact but costs from Sandy ,Verizon Communications Inc  said on Friday it expects annual labor savings of up to $500 million from new contracts beginning in 2013 but warned that its current quarter results would be hurt by mega-storm Sandy.,topStory
VZ,Verizon Communications Inc,20121102,UPDATE 1-Verizon sees savings on labor pact but costs from Sandy ,Nov 2 Verizon Communications Inc said on Friday it expects annual labor savings of up to $500 million from new contracts beginning in 2013 but warned that its current quarter results would be hurt by mega-storm Sandy.,normal
VZ,Verizon Communications Inc,20121102,TEXT- Fitch rates Verizon Communications proposed debt issue 'A' ,Nov 2 - Fitch Ratings has assigned an 'A' rating to Verizon Communications  Inc.'s  (Verizon) (NYSE: VZ) proposed three tranche offering of $4.5 billion of senior unsecured notes. The proceeds will be used to retire prior to maturity all or a portion of $1.75 billion of debt due in 2013  $2 billion of debt due in 2018 and to fund a tender offer  contingent upon completing the offering  for any or all of the $1.25 billion 8.95% senior unsecured notes due in 2039. Remaining proceeds may be used fo,normal
VZ,Verizon Communications Inc,20121102,Verizon sees "significant" impact from Sandy on fourth-quarter results ,Verizon Communications Inc  said it expected fourth-quarter results to be hurt significantly due to superstorm Sandy and that it could not estimate the impact at this time.,normal
VZ,Verizon Communications Inc,20121102,Verizon sees "significant" impact from Sandy on 4th-qtr results ,Nov 2 Verizon Communications Inc said it expected fourth-quarter results to be hurt significantly due to superstorm Sandy and that it could not estimate the impact at this time.,normal
VZA,Verizon Communications Inc,20121102,Verizon sees savings on labor pact but costs from Sandy ,Verizon Communications Inc  said on Friday it expects annual labor savings of up to $500 million from new contracts beginning in 2013 but warned that its current quarter results would be hurt by mega-storm Sandy.,topStory
VZA,Verizon Communications Inc,20121102,UPDATE 1-Verizon sees savings on labor pact but costs from Sandy ,Nov 2 Verizon Communications Inc said on Friday it expects annual labor savings of up to $500 million from new contracts beginning in 2013 but warned that its current quarter results would be hurt by mega-storm Sandy.,normal
VZA,Verizon Communications Inc,20121102,TEXT- Fitch rates Verizon Communications proposed debt issue 'A' ,Nov 2 - Fitch Ratings has assigned an 'A' rating to Verizon Communications  Inc.'s  (Verizon) (NYSE: VZ) proposed three tranche offering of $4.5 billion of senior unsecured notes. The proceeds will be used to retire prior to maturity all or a portion of $1.75 billion of debt due in 2013  $2 billion of debt due in 2018 and to fund a tender offer  contingent upon completing the offering  for any or all of the $1.25 billion 8.95% senior unsecured notes due in 2039. Remaining proceeds may be used fo,normal
VZA,Verizon Communications Inc,20121102,Verizon sees "significant" impact from Sandy on fourth-quarter results ,Verizon Communications Inc  said it expected fourth-quarter results to be hurt significantly due to superstorm Sandy and that it could not estimate the impact at this time.,normal
VZA,Verizon Communications Inc,20121102,Verizon sees "significant" impact from Sandy on 4th-qtr results ,Nov 2 Verizon Communications Inc said it expected fourth-quarter results to be hurt significantly due to superstorm Sandy and that it could not estimate the impact at this time.,normal
VNO,Vornado Realty Trust,20121102,BRIEF-Vornado Realty to continue to sell assets in 2013 ,Nov 2 Vornado Realty Trust :  * CEO says sees continuing to sell assets in 2013  * CEO about $400-$500 million in non core assets in sale pipeline  * Sees Manhattan office rent in 2013 about flat  * Chairman says of co's stake in J C Penney Company Inc  we remain,topStory
WIT,Wipro Limited,20121102,UPDATE 2-Wipro profit  margins top expectations; shares up ,* Q2 net profit at 16.11 bln rupees vs 15.37 bln estimates,topStory
WIT,Wipro Limited,20121102,Wipro Q2 profit rises 24 percent  beats estimates ,BANGALORE  Nov 2 Wipro Ltd.  India's No. 3 software services provider  beat forecasts with a 24 percent rise in quarterly profit  helped by a surge in outsourcing demand as Western clients look to cut costs in an uncertain economic environment.,normal
